,train_acc,val_acc
0,94.54338624338624,81.93333333333334
1,97.6910052910053,81.93333333333334
2,97.7010582010582,96.14285714285714
3,97.73756613756613,98.87142857142858
4,98.22433862433863,99.4952380952381
5,98.38677248677249,99.41904761904762
6,98.61640211640211,99.5
7,98.69788359788359,99.6
8,98.81164021164022,99.64761904761905
9,98.85026455026455,99.67619047619047
10,98.96190476190476,99.71904761904761
11,99.0904761904762,99.71428571428571
12,99.08888888888889,99.73333333333333
13,99.20793650793651,99.69047619047619
14,99.1941798941799,99.77142857142857
15,99.18941798941799,99.77142857142857
16,99.21111111111112,99.8047619047619
17,99.24867724867725,99.75238095238095
18,99.25925925925925,99.77619047619048
19,99.32010582010582,99.71904761904761
